Inputs: 80000 0.001000 20000 0.010000 x
0.000000 4.692070 3.997368 15.110000 0.454083 0.455835
1000.000000 0.210537 0.068219 97.759995 0.422297 0.425723
2000.000000 0.028813 0.050116 98.339996 0.419549 0.421344
3000.000000 0.024530 0.036022 98.739998 0.410123 0.414369
4000.000000 0.003476 0.041351 98.750000 0.418209 0.419891
5000.000000 0.004320 0.032762 98.820000 0.415724 0.416572
6000.000000 0.002119 0.035588 98.909996 0.423383 0.419962
7000.000000 0.006744 0.033676 99.019997 0.414187 0.414263
8000.000000 0.000182 0.033383 98.989998 0.421023 0.415619
9000.000000 0.003046 0.031639 99.049995 0.410333 0.412232
10000.000000 0.000118 0.027635 99.029999 0.410257 0.408847
11000.000000 0.000088 0.034111 99.000000 0.411998 0.412620
12000.000000 0.000402 0.028035 99.150002 0.412624 0.414079
13000.000000 0.000239 0.039832 98.959999 0.420442 0.416483
14000.000000 0.010071 0.030167 99.229996 0.412197 0.413731
15000.000000 0.001242 0.031402 99.129997 0.415444 0.416623
16000.000000 0.000019 0.033081 99.239998 0.423571 0.419863
17000.000000 0.001588 0.032688 99.150002 0.416194 0.416720
18000.000000 0.045252 0.030758 99.239998 0.418538 0.422351
19000.000000 0.000002 0.034845 99.279999 0.421716 0.422306
20000.000000 0.004572 0.038586 99.190002 0.427201 0.427433
21000.000000 0.007059 0.035427 99.320000 0.112200 0.114817
22000.000000 0.000241 0.038200 99.229996 0.119446 0.110979
23000.000000 0.000101 0.062045 99.070000 0.013250 0.010863
24000.000000 0.000001 0.039201 99.220001 0.006952 0.006132
25000.000000 0.000004 0.035180 99.339996 0.004559 0.004830
26000.000000 0.000009 0.043480 99.260002 0.003950 0.004308
27000.000000 0.000000 0.041484 99.370003 0.003434 0.004040
28000.000000 0.001063 0.039847 99.129997 0.003808 0.003872
29000.000000 0.003425 0.051510 99.239998 0.003156 0.003719
30000.000000 0.000000 0.047256 99.250000 0.003525 0.003324
31000.000000 0.000453 0.046633 99.320000 0.002941 0.003180
32000.000000 0.000028 0.048589 99.080002 0.003469 0.003173
33000.000000 0.491376 0.072753 98.959999 0.002437 0.003330
34000.000000 0.000000 0.047532 99.309998 0.002709 0.003167
35000.000000 0.000000 0.060538 99.150002 0.003100 0.003128
36000.000000 0.000000 0.065364 99.110001 0.002914 0.003106
37000.000000 0.000000 0.056674 99.199997 0.003645 0.002996
38000.000000 0.000000 0.080133 99.199997 0.002331 0.002994
39000.000000 0.000000 0.067045 99.209999 0.002911 0.002997
40000.000000 0.000000 0.086090 99.089996 0.003258 0.003002
41000.000000 0.000000 0.083936 99.150002 0.002684 0.002976
42000.000000 0.000002 0.068347 99.220001 0.002701 0.002932
43000.000000 0.000350 0.069136 99.279999 0.002583 0.002736
44000.000000 0.000000 0.070195 99.150002 0.003060 0.002974
45000.000000 0.000060 0.078067 99.159996 0.002608 0.002786
46000.000000 0.000000 0.071660 99.150002 0.002623 0.002792
47000.000000 0.000000 0.062678 99.330002 0.002445 0.002946
48000.000000 0.000009 0.077310 99.150002 0.002431 0.002893
49000.000000 0.000001 0.076405 99.190002 0.002797 0.002811
50000.000000 0.000006 0.094421 99.059998 0.002623 0.002831
51000.000000 0.000000 0.076720 99.209999 0.002695 0.002788
52000.000000 0.000000 0.069328 99.220001 0.002977 0.002745
53000.000000 0.000000 0.072532 99.220001 0.002254 0.002906
54000.000000 0.000000 0.077974 99.080002 0.002582 0.002935
55000.000000 0.000000 0.101187 99.159996 0.002153 0.002783
56000.000000 0.057138 0.070988 99.180000 0.002404 0.002698
57000.000000 0.000000 0.091218 99.150002 0.002612 0.002712

Inputs: 100000 0.001000 20000 1.000000 x
0.000000 8.256585 8.764184 9.770000 0.437181 0.436073
1000.000000 0.011528 0.061414 97.939995 0.417719 0.417610
2000.000000 0.047897 0.046074 98.489998 0.418976 0.415646
3000.000000 0.006141 0.039859 98.750000 0.414162 0.412772
4000.000000 0.012642 0.041925 98.610001 0.411553 0.413500
5000.000000 0.000193 0.029400 99.080002 0.413222 0.404253
6000.000000 0.011908 0.031712 98.889999 0.403736 0.407816
7000.000000 0.012622 0.041147 98.860001 0.414153 0.412972
8000.000000 0.002176 0.030399 99.019997 0.407391 0.405912
9000.000000 0.000388 0.034242 99.059998 0.408936 0.411901
10000.000000 0.000164 0.037102 98.869995 0.408099 0.408066
11000.000000 0.000091 0.031308 99.080002 0.410704 0.410183
12000.000000 0.000462 0.032230 99.159996 0.410274 0.410464
13000.000000 0.000262 0.033708 99.049995 0.408768 0.410343
14000.000000 0.059129 0.039660 98.979996 0.414054 0.415200
15000.000000 0.000195 0.035019 98.979996 0.411496 0.408175
16000.000000 0.000707 0.031757 99.199997 0.415676 0.413373
17000.000000 0.000011 0.036378 99.080002 0.415395 0.409136
18000.000000 0.008547 0.036933 99.190002 0.412931 0.411925
19000.000000 0.000001 0.035373 99.180000 0.411301 0.411377
20000.000000 0.000272 0.043522 98.959999 0.416989 0.413020
21000.000000 0.000108 0.038458 99.080002 0.129899 0.120554
22000.000000 0.000034 0.054296 98.959999 0.125565 0.120554
23000.000000 0.000176 0.039301 99.150002 0.121958 0.120554
24000.000000 0.000001 0.047656 99.199997 0.114354 0.120554
25000.000000 0.002687 0.046599 99.110001 0.113093 0.120554
26000.000000 0.000046 0.057707 99.129997 0.115962 0.120554
27000.000000 0.000191 0.052416 99.089996 0.122398 0.120554
28000.000000 0.000000 0.053903 99.180000 0.115896 0.120554
29000.000000 0.000026 0.042266 99.279999 0.107857 0.120554
30000.000000 0.000036 0.045801 99.199997 0.123551 0.120554
31000.000000 0.000000 0.053760 99.099998 0.122989 0.120554
32000.000000 0.000001 0.045926 99.150002 0.124747 0.120554
33000.000000 0.000012 0.053511 99.080002 0.126802 0.120554
34000.000000 0.000705 0.056700 99.099998 0.122543 0.120554
35000.000000 0.000000 0.044714 99.209999 0.122571 0.120554
36000.000000 0.000000 0.061170 99.049995 0.120538 0.120554
37000.000000 0.000949 0.058580 99.089996 0.116080 0.120554
38000.000000 0.000000 0.064340 99.010002 0.112017 0.120554
39000.000000 0.000134 0.059353 99.110001 0.135098 0.120554
40000.000000 0.000000 0.056288 99.260002 0.127588 0.120554

Inputs: 100000 0.001000 10000 0.100000 x
0.000000 7.043891 6.877748 5.870000 0.477972 0.478720
1000.000000 0.007477 0.056702 98.049995 0.434867 0.434939
2000.000000 0.011699 0.037206 98.779999 0.433309 0.428123
3000.000000 0.025596 0.038266 98.769997 0.430343 0.428888
4000.000000 0.020882 0.034664 98.820000 0.422282 0.424185
5000.000000 0.035043 0.031347 98.970001 0.420608 0.424765
6000.000000 0.006762 0.029962 99.070000 0.428408 0.426209
7000.000000 0.033771 0.029320 99.089996 0.423897 0.424041
8000.000000 0.000060 0.025301 99.169998 0.426452 0.423505
9000.000000 0.000115 0.033659 98.970001 0.423199 0.424259
10000.000000 0.003800 0.031805 99.070000 0.423304 0.424138
11000.000000 0.000086 0.037017 98.900002 0.106104 0.118719
12000.000000 0.000019 0.035037 99.110001 0.110804 0.118719
13000.000000 0.003321 0.037953 99.049995 0.120159 0.118719
